Name,Author,Genre,Suggestor
Cannery Row,John Steinbeck,Fiction,P6
Chavs- The Demonisation of the Working Class,Owen Jones,Non-fiction,alifeee
The Count of Monte Cristo,Alexandre Dumas,Fiction,P6
Inglorious Empire- What the British Did to India,Shashi Tharoor,Non-fiction,alifeee
How To Do Nothing- Resisting the Attention Economy,Jenny Odell,Non-fiction,alifeee
Slaughterhouse 5,Kurt Vonnegut,Fiction,alifeee
Your Head is a Houseboat- A Chaotic Guide to Mental Clarity,Campbell Walker,Non-fiction,alifeee
There Are No Accidents- The Deadly Rise of Injury and Disaster--Who Profits and Who Pays the Price,Jessie Singer,Non-fiction,alifeee
Harlem Shuffle,Colson Whitehead,Fiction,P1
What's Our Problem,Tim Urban,Non-fiction,alifeee
One Hundred Years of Solitude,Gabriel García Márquez,Fiction,alifeee
Finntopia- What We Can Learn From the World's Happiest Country,Danny Dorling,Non-fiction,alifeee
Children of Time,Adrian Tchaikovsky,Fiction,alifeee
Sapiens,Yuval Noah Harari,Non-fiction,P7
Metamorphosis,Franz Kafka,Fiction,alifeee
Dante's Inferno,Dante?,Fiction,alifeee
Beautiful world where are you,Sally Rooney,Fiction,alifeee
How to be an anticapitalist in the twenty-first century,Erik Olin Wright,Non-fiction,alifeee
The Third Door- The Wild Quest to Uncover How the World's Most Successful People Launched Their Careers,Alex Banayan,Non-fiction,alifeee
Vagabonding- An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,Non-fiction,alifeee
All About Love 2,Bell Hooks,Non-fiction,alifeee
The Bell Jar,Sylvia Plath,Fiction,alifeee
East West Street,Philippe Sands,Non-fiction,P3
Ayoade on Top,Richard Ayoade,Non-fiction,P3
Stepford Wives,Ira Levin,Fiction,P3
The Intellectual Life of the British Working Classes,Jonathan Rose,Non-fiction,alifeee
Jillian,Halle Butler,Fiction,alifeee
"20,000 Leagues Under the Sea",Jules Verne,Fiction,alifeee
The Metamorphosis,Franz Kafka,Fiction,alifeee
Name of Author by Title of Book,Tom Murphy 7,Fiction,alifeee
Blood in the Machine,Brian Merchant,Non-fiction,alifeee
Bullshit Jobs 2,David Graeber,Non-fiction,alifeee
Sometimes a Great Notion,Ken Kesey,Fiction,alifeee
The Situtation is Hopeless But Not Serious,Paul Watzlawick,Non-fiction,alifeee
All About Love,Bell Hooks,Non-fiction,alifeee
Mutual Aid- Building Solidarity During this Crisis (and the Next),Dean Spade,Non-fiction,P8
"Ronia, the Robber’s Daughter",Astrid Lindgren,Fiction,P8
What is Life,Addy Pross,Non-fiction,P8
Ringworld,Larry Niven,Fiction,alifeee
The Psychopath Test,Jon Ronson,Non-fiction,alifeee
Pastoralia,George Saunders,Fiction,P7
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Fiction,P7
Bullshit Jobs,David Graeber,Non-fiction,alifeee
