Name,Author,Genre,Status,Reading Date,Suggestor,alifeee,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Total review count,Total review points,Review
I Have No Mouth and I Must Scream,Harlan Ellison,Fiction,Read,"September 27, 2022 → October 25, 2022",P4,,,,,,,,,,,,0,0,
Quichotte,Salman Rushdie,Fiction,Read,"October 25, 2022 → November 29, 2022",P7,7.5,8.5,,,,,,,,,8,3,24,8
Around the World in 80 Days,Jules Verne,Fiction,Read,"November 29, 2022 → January 31, 2023",alifeee,9,9,5,,6,,8,6,,,,6,43,7.17
Freakonomics,Steven Levitt & Stephen J Dubner,Non-fiction,Read,"January 31, 2023 → February 28, 2023",P2,3,5,6.5,,,,,5,,,,4,19.5,4.88
Flowers for Algernon,Daniel Keyes,Fiction,Read,"February 28, 2023 → March 28, 2023",alifeee,8,,,,7,,9,9,,,,4,33,8.25
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Fiction,Read,"March 29, 2023 → May 31, 2023",alifeee,8,8.5,,7.5,,7,,8.8,,7,,6,46.8,7.8
The Spy Who Came In From The Cold,John Le Carre,Fiction,Read,"May 31, 2023 → June 28, 2023",P7,4,,,4,,,,6,,4.5,,4,18.5,4.63
And Then We Grew Up,Rachel Friedman,Non-fiction,Read,"July 26, 2023 → August 2, 2023",alifeee,4,,,4,,3.5,3,,,4.5,,5,19,3.8
The Time Machine,H G Wells,Fiction,Read,"August 2, 2023 → August 30, 2023",alifeee,4,5,,,,5,,6.5,,7.5,8.75,6,36.75,6.13
Invisible Women- Exposing Data Bias in a World Designed for Men,Caroline Criado-Perez,Non-fiction,Read,"August 30, 2023 → October 27, 2023",alifeee,9,9.5,,8,,,,8,,6,8,6,48.5,8.08
Normal People,Sally Rooney,Fiction,Read,"October 27, 2023 → November 29, 2023",alifeee,1,,,,,,,5,3.4,2.5,,4,11.9,2.98
Four Lost Cities- A Secret History of the Urban Age,Annalee Newitz,Fiction,Read,"January 3, 2024 → January 31, 2024",alifeee,,,,8.5,,8.5,,,8.5,,,3,25.5,8.5
bad karma,Paul Wilson,Non-fiction,Reading,"February 1, 2024 → …",P4,,,,,,,,,,,,0,0,
