Name,Date,📕 Book
Initial,"September 27, 2022",
October,"October 25, 2022",I Have No Mouth and I Must Scream
November,"November 29, 2022",Quichotte
Christmas,"January 3, 2023",
January,"February 1, 2023",Around the World in 80 Days
February,"February 28, 2023","Ode to Tomatoes, Every Day You Play, I Explain Some Things, and others"
March,"March 29, 2023",Flowers for Algernon
May,"May 31, 2023",The Hitchhiker's Guide to the Galaxy
June,"June 28, 2023",The Spy Who Came In From The Cold/The Spy Who Came In From The Cold
July,"August 2, 2023",And Then We Grew Up
August,"September 4, 2023",The Time Machine/The Time Machine
October,"October 27, 2023",Invisible Women- Exposing Data Bias in a World Designed for Men
November,"November 29, 2023",Normal People
January,"January 31, 2024",Four Lost Cities- A Secret History of the Urban Age
